case_id,split,U,alpha,alpha2,naca_0,naca_1,naca_2,naca_3,cl,cd
airFoil2D_SST_31.283_-4.156_0.919_6.98_14.32,train,31.283,-4.156,17.272335999999996,0.919,6.98,14.32,0.0,-0.3210462480473065,0.010637395163993675
airFoil2D_SST_31.382_3.588_1.994_6.206_0.0_13.271,train,31.382,3.588,12.873744,1.994,6.206,0.0,13.271,0.5692192839284891,0.010921643014007268
airFoil2D_SST_31.468_13.713_3.339_3.51_6.993,train,31.468,13.713,188.04636899999997,3.339,3.51,6.993,0.0,1.6203531721779667,0.02925499566613929
airFoil2D_SST_31.534_-3.342_0.303_3.977_17.149,train,31.534,-3.342,11.168964,0.303,3.977,17.149,0.0,-0.30971797652463057,0.011212784740578545
airFoil2D_SST_31.577_2.75_2.604_4.088_17.312,train,31.577,2.75,7.5625,2.604,4.088,17.312,0.0,0.5267117584937375,0.01194865132808296
airFoil2D_SST_31.677_-0.742_2.926_5.236_5.651,train,31.677,-0.742,0.5505639999999999,2.926,5.236,5.651,0.0,0.27495706390154784,0.008573506845642072
airFoil2D_SST_31.678_0.925_5.108_0.0_10.772,train,31.678,0.925,0.8556250000000001,5.108,0.0,10.772,0.0,0.10323472534795336,0.009292502305135729
airFoil2D_SST_31.68_0.424_0.273_4.301_1.0_11.616,train,31.68,0.424,0.179776,0.273,4.301,1.0,11.616,0.06675511582274275,0.00945165224295701
airFoil2D_SST_31.803_7.291_3.243_6.962_0.0_10.641,train,31.803,7.291,53.15868100000001,3.243,6.962,0.0,10.641,1.1005071523669256,0.013451833661166847
airFoil2D_SST_32.058_11.514_6.565_6.266_9.329,train,32.058,11.514,132.572196,6.565,6.266,9.329,0.0,1.7658108828183288,0.02909074932207446
airFoil2D_SST_32.199_-0.546_6.896_0.0_13.768,train,32.199,-0.546,0.29811600000000005,6.896,0.0,13.768,0.0,-0.05302783067599719,0.00990695034793733
airFoil2D_SST_32.494_3.294_4.038_1.959_8.677,train,32.494,3.294,10.850436,4.038,1.959,8.677,0.0,0.7478108865512745,0.010414901948111484
airFoil2D_SST_32.499_12.136_1.194_6.108_1.0_8.121,train,32.499,12.136,147.28249599999998,1.194,6.108,1.0,8.121,1.3496461539256688,0.019733664235024186
airFoil2D_SST_32.642_-0.627_0.31_3.451_0.0_8.252,train,32.642,-0.627,0.393129,0.31,3.451,0.0,8.252,-0.04785453224450799,0.008720623494089861
airFoil2D_SST_32.677_5.679_0.493_6.223_1.0_9.86,train,32.677,5.679,32.251041,0.493,6.223,1.0,9.86,0.6611272487368155,0.010617295763867322
airFoil2D_SST_32.706_8.859_2.638_5.49_0.0_18.856,train,32.706,8.859,78.481881,2.638,5.49,0.0,18.856,1.055125595175582,0.01774419056176981
airFoil2D_SST_32.717_11.377_2.913_6.33_1.0_13.804,train,32.717,11.377,129.43612900000002,2.913,6.33,1.0,13.804,1.3862253913372247,0.020060672277990507
airFoil2D_SST_32.902_8.203_2.59_6.258_1.0_14.519,train,32.902,8.203,67.28920899999999,2.59,6.258,1.0,14.519,1.0792860057233373,0.014915415006995579
airFoil2D_SST_32.941_-0.472_4.699_5.604_11.579,train,32.941,-0.472,0.22278399999999998,4.699,5.604,11.579,0.0,0.5064375387011795,0.010425626790415345
airFoil2D_SST_32.966_-0.849_3.413_3.675_1.0_19.214,train,32.966,-0.849,0.7208009999999999,3.413,3.675,1.0,19.214,0.13672063844650625,0.011444818283162439
airFoil2D_SST_33.071_9.94_0.604_4.81_16.124,train,33.071,9.94,98.80359999999999,0.604,4.81,16.124,0.0,1.0554016571173144,0.0158879634334336
airFoil2D_SST_33.137_-2.653_2.78_5.876_1.0_14.328,train,33.137,-2.653,7.038409,2.78,5.876,1.0,14.328,-0.029582306892610936,0.010203054695698164
airFoil2D_SST_33.163_-1.909_2.306_3.054_0.0_11.764,train,33.163,-1.909,3.6442810000000003,2.306,3.054,0.0,11.764,-0.06056886264983428,0.009507825165968585
airFoil2D_SST_33.16_12.978_4.208_5.336_7.291,train,33.16,12.978,168.428484,4.208,5.336,7.291,0.0,1.6788317717039711,0.027651142930086036
airFoil2D_SST_33.187_10.15_2.61_7.828_0.0_5.27,train,33.187,10.15,103.02250000000001,2.61,7.828,0.0,5.27,1.322238726507387,0.019321044787471497
airFoil2D_SST_33.191_2.869_2.039_7.426_1.0_13.149,train,33.191,2.869,8.231161000000002,2.039,7.426,1.0,13.149,0.5230796854283448,0.010592159226451342
airFoil2D_SST_33.238_-0.071_0.667_2.065_6.479,train,33.238,-0.071,0.0050409999999999995,0.667,2.065,6.479,0.0,0.057645043512572734,0.008369962383274495
airFoil2D_SST_33.243_9.415_0.453_6.549_1.0_9.924,train,33.243,9.415,88.64222499999998,0.453,6.549,1.0,9.924,1.0401504662431962,0.013912284923156227
airFoil2D_SST_33.263_-1.073_1.438_5.145_15.567,train,33.263,-1.073,1.1513289999999998,1.438,5.145,15.567,0.0,0.03791854868351973,0.010360498436288824
airFoil2D_SST_33.272_14.436_4.837_2.403_9.237,train,33.272,14.436,208.398096,4.837,2.403,9.237,0.0,1.775222131310344,0.030501822150915726
airFoil2D_SST_33.312_-4.457_1.296_2.993_5.575,train,33.312,-4.457,19.864849,1.296,2.993,5.575,0.0,-0.353711079434777,0.00933221854233713
airFoil2D_SST_33.32_11.069_6.369_2.254_12.837,train,33.32,11.069,122.52276100000002,6.369,2.254,12.837,0.0,1.6230029658920475,0.0242260488631175
airFoil2D_SST_33.441_6.653_3.034_1.771_10.97,train,33.441,6.653,44.26240899999999,3.034,1.771,10.97,0.0,0.9955052813695747,0.012578917629163619
airFoil2D_SST_33.763_-1.179_4.54_5.165_6.778,train,33.763,-1.179,1.390041,4.54,5.165,6.778,0.0,0.41451204516102286,0.009074149242428105
airFoil2D_SST_33.798_10.426_3.185_5.957_0.0_11.232,train,33.798,10.426,108.701476,3.185,5.957,0.0,11.232,1.3576741511979813,0.017176937679267017
airFoil2D_SST_33.816_-1.984_6.59_0.0_7.983,train,33.816,-1.984,3.9362559999999998,6.59,0.0,7.983,0.0,-0.21571984095232108,0.008775184143530382
airFoil2D_SST_33.846_6.261_0.922_3.023_1.0_12.36,train,33.846,6.261,39.200121,0.922,3.023,1.0,12.36,0.7245303428728777,0.011483115047990851
airFoil2D_SST_33.854_5.282_1.425_3.167_15.694,train,33.854,5.282,27.899524,1.425,3.167,15.694,0.0,0.6818242273940065,0.01202925817023182
airFoil2D_SST_33.941_-4.025_1.706_6.295_1.0_12.199,train,33.941,-4.025,16.200625000000002,1.706,6.295,1.0,12.199,-0.26915262206636376,0.009948133399086229
airFoil2D_SST_34.112_-0.415_3.388_0.0_19.649,train,34.112,-0.415,0.172225,3.388,0.0,19.649,0.0,-0.03693078771371435,0.011368346735539972
airFoil2D_SST_34.136_14.393_2.103_3.685_0.0_6.065,train,34.136,14.393,207.15844900000002,2.103,3.685,0.0,6.065,1.502096018726363,0.03458644334473924
airFoil2D_SST_34.283_1.149_2.438_6.56_0.0_11.452,train,34.283,1.149,1.320201,2.438,6.56,0.0,11.452,0.36594062139538563,0.009723678535134913
airFoil2D_SST_34.343_8.933_2.915_3.012_19.934,train,34.343,8.933,79.798489,2.915,3.012,19.934,0.0,1.0784263481145386,0.01877760258135608
airFoil2D_SST_34.449_3.661_2.887_5.016_6.942,train,34.449,3.661,13.402921000000001,2.887,5.016,6.942,0.0,0.7385101495429534,0.009881049472731218
airFoil2D_SST_34.479_6.691_6.72_3.318_15.145,train,34.479,6.691,44.769481,6.72,3.318,15.145,0.0,1.2877386719357815,0.017984551275308146
airFoil2D_SST_34.539_5.856_1.783_2.332_5.584,train,34.539,5.856,34.292736,1.783,2.332,5.584,0.0,0.8092102788844512,0.010469532533545583
airFoil2D_SST_34.55_9.924_0.765_3.332_0.0_6.065,train,34.55,9.924,98.48577599999999,0.765,3.332,0.0,6.065,1.0930920794603343,0.016135827969592054
airFoil2D_SST_34.601_4.176_5.939_6.481_11.039,train,34.601,4.176,17.438976,5.939,6.481,11.039,0.0,1.157587724064926,0.014506148152494623
airFoil2D_SST_34.613_-4.801_4.017_0.0_12.213,train,34.613,-4.801,23.049601000000003,4.017,0.0,12.213,0.0,-0.5125815099307791,0.010411983292781223
airFoil2D_SST_34.664_-1.571_0.799_6.033_8.975,train,34.664,-1.571,2.468041,0.799,6.033,8.975,0.0,-0.06807013665636116,0.008836997568228037
airFoil2D_SST_34.665_7.036_4.044_2.258_6.724,train,34.665,7.036,49.505295999999994,4.044,2.258,6.724,0.0,1.1451851412113387,0.012455212223558405
airFoil2D_SST_34.666_4.982_0.919_2.649_8.985,train,34.666,4.982,24.820324000000003,0.919,2.649,8.985,0.0,0.6333471038421425,0.01009741637225153
airFoil2D_SST_34.735_11.28_5.283_0.0_8.444,train,34.735,11.28,127.23839999999998,5.283,0.0,8.444,0.0,1.1748894596485302,0.017452944428411825
airFoil2D_SST_34.878_7.93_3.081_6.388_1.0_15.071,train,34.878,7.93,62.884899999999995,3.081,6.388,1.0,15.071,1.0937857482985227,0.015155300825548642
airFoil2D_SST_34.943_-3.548_0.916_2.445_11.722,train,34.943,-3.548,12.588304,0.916,2.445,11.722,0.0,-0.29382266816511476,0.009715449603479538
airFoil2D_SST_34.973_-4.736_2.29_6.323_9.19,train,34.973,-4.736,22.429695999999996,2.29,6.323,9.19,0.0,-0.21215042828235955,0.009490420666325352
airFoil2D_SST_35.112_7.306_1.701_4.965_1.0_14.943,train,35.112,7.306,53.377636,1.701,4.965,1.0,14.943,0.893651275898365,0.01324825539206555
airFoil2D_SST_35.32_-4.403_1.396_0.0_5.379,train,35.32,-4.403,19.386408999999997,1.396,0.0,5.379,0.0,-0.480263142751544,0.009195334491356484
airFoil2D_SST_35.399_-4.028_4.452_4.653_5.733,train,35.399,-4.028,16.224783999999996,4.452,4.653,5.733,0.0,0.07075808676007661,0.00913067989737604
airFoil2D_SST_35.424_-3.014_1.51_5.078_1.0_5.743,train,35.424,-3.014,9.084195999999999,1.51,5.078,1.0,5.743,-0.203919801634749,0.008673842193693868
airFoil2D_SST_35.429_-0.673_3.556_7.908_1.0_10.289,train,35.429,-0.673,0.4529290000000001,3.556,7.908,1.0,10.289,0.33312898057916907,0.009499906373297609
airFoil2D_SST_35.445_12.572_6.569_0.0_16.397,train,35.445,12.572,158.05518399999997,6.569,0.0,16.397,0.0,1.226105922256495,0.019595597802060286
airFoil2D_SST_35.486_8.246_3.212_7.038_0.0_8.761,train,35.486,8.246,67.99651600000001,3.212,7.038,0.0,8.761,1.2034310749779322,0.013713421768202623
airFoil2D_SST_35.562_1.564_0.955_0.0_11.382,train,35.562,1.564,2.4460960000000003,0.955,0.0,11.382,0.0,0.170234435092257,0.009314049734198835
airFoil2D_SST_35.575_-4.221_6.432_5.051_16.214,train,35.575,-4.221,17.816841,6.432,5.051,16.214,0.0,0.22156328127964256,0.011699184150925001
airFoil2D_SST_35.655_-1.157_0.274_7.435_1.0_6.16,train,35.655,-1.157,1.338649,0.274,7.435,1.0,6.16,-0.09714650091690634,0.008259446638749017
airFoil2D_SST_35.823_8.293_0.329_6.252_0.0_11.422,train,35.823,8.293,68.77384899999998,0.329,6.252,0.0,11.422,0.9117210937869853,0.01262109096733407
airFoil2D_SST_35.839_-2.434_2.439_5.397_1.0_6.142,train,35.839,-2.434,5.924356,2.439,5.397,1.0,6.142,-0.05456737312803074,0.008642389386077932
airFoil2D_SST_35.856_7.149_0.902_4.514_0.0_12.985,train,35.856,7.149,51.108201,0.902,4.514,0.0,12.985,0.8258786252617242,0.012158307273155661
airFoil2D_SST_36.026_2.687_1.952_5.57_1.0_8.173,train,36.026,2.687,7.219968999999999,1.952,5.57,1.0,8.173,0.46885562381514456,0.009180890095204364
airFoil2D_SST_36.077_-4.685_0.316_7.601_1.0_18.579,train,36.077,-4.685,21.949224999999995,0.316,7.601,1.0,18.579,-0.4319538091736941,0.011811954503183814
airFoil2D_SST_36.198_-2.544_2.402_5.395_1.0_14.297,train,36.198,-2.544,6.471936,2.402,5.395,1.0,14.297,-0.06277164829797274,0.010005464782439492
airFoil2D_SST_36.228_6.699_2.659_3.41_0.0_9.235,train,36.228,6.699,44.876601,2.659,3.41,0.0,9.235,0.9002946576301146,0.011555643424170127
airFoil2D_SST_36.275_5.975_3.061_0.0_14.428,train,36.275,5.975,35.700624999999995,3.061,0.0,14.428,0.0,0.6299181246452773,0.011421143419742269
airFoil2D_SST_36.385_2.558_2.975_3.104_1.0_9.306,train,36.385,2.558,6.5433639999999995,2.975,3.104,1.0,9.306,0.46946685108241365,0.009466820438840132
airFoil2D_SST_36.553_8.149_1.121_0.0_13.027,train,36.553,8.149,66.40620099999998,1.121,0.0,13.027,0.0,0.8586873065286301,0.01261644113890949
airFoil2D_SST_36.564_-3.341_0.981_5.647_1.0_9.449,train,36.564,-3.341,11.162281000000002,0.981,5.647,1.0,9.449,-0.2763627833303798,0.00917182215977569
airFoil2D_SST_36.604_9.036_0.085_4.97_1.0_10.625,train,36.604,9.036,81.64929599999999,0.085,4.97,1.0,10.625,0.9660923450516248,0.013156694714911838
airFoil2D_SST_36.622_11.319_3.941_5.424_1.0_16.283,train,36.622,11.319,128.119761,3.941,5.424,1.0,16.283,1.388164970317538,0.02275857043348905
airFoil2D_SST_36.716_13.365_2.832_4.656_6.353,train,36.716,13.365,178.62322500000002,2.832,4.656,6.353,0.0,1.5486517251708338,0.031422192800195654
airFoil2D_SST_36.78_-1.098_3.205_0.0_11.557,train,36.78,-1.098,1.2056040000000001,3.205,0.0,11.557,0.0,-0.11726435799122276,0.00924852045729184
airFoil2D_SST_36.967_-1.05_1.254_4.888_0.0_16.448,train,36.967,-1.05,1.1025,1.254,4.888,0.0,16.448,-0.008563157616938263,0.010359949794435636
airFoil2D_SST_37.104_0.913_0.585_4.275_1.0_12.237,train,37.104,0.913,0.8335690000000001,0.585,4.275,1.0,12.237,0.14324726994788273,0.009398391344056192
airFoil2D_SST_37.159_9.69_0.909_5.832_0.0_9.423,train,37.159,9.69,93.89609999999999,0.909,5.832,0.0,9.423,1.107712915964141,0.01410299642973065
airFoil2D_SST_37.191_-4.384_1.742_3.249_0.0_5.697,train,37.191,-4.384,19.219456000000005,1.742,3.249,0.0,5.697,-0.3303033180784979,0.03460441960328551
airFoil2D_SST_37.261_4.879_3.571_7.018_1.0_9.35,train,37.261,4.879,23.804640999999997,3.571,7.018,1.0,9.35,0.8974567426390244,0.01111952669051234
airFoil2D_SST_37.26_8.498_2.099_4.252_6.054,train,37.26,8.498,72.21600399999998,2.099,4.252,6.054,0.0,1.1281351228587266,0.013903280108771603
airFoil2D_SST_37.311_0.727_1.911_6.377_1.0_11.313,train,37.311,0.727,0.5285289999999999,1.911,6.377,1.0,11.313,0.2653165017676614,0.009360581228032697
airFoil2D_SST_37.323_7.282_1.878_4.063_1.0_7.355,train,37.323,7.282,53.027524,1.878,4.063,1.0,7.355,0.9240567265719388,0.011446223690985163
airFoil2D_SST_37.382_11.168_3.389_5.307_1.0_16.094,train,37.382,11.168,124.72422399999998,3.389,5.307,1.0,16.094,1.3489654136744478,0.020841242640902105
airFoil2D_SST_37.536_7.045_1.679_6.067_0.0_9.211,train,37.536,7.045,49.632025,1.679,6.067,0.0,9.211,0.9160441780359793,0.011575707306965081
airFoil2D_SST_37.572_14.235_3.712_0.0_9.577,train,37.572,14.235,202.635225,3.712,0.0,9.577,0.0,1.4033519570361408,0.025337360681916853
airFoil2D_SST_37.655_12.984_3.731_6.149_0.0_7.245,train,37.655,12.984,168.584256,3.731,6.149,0.0,7.245,1.6268830623935853,0.02310148473609499
airFoil2D_SST_37.804_-3.618_1.043_5.557_0.0_6.776,train,37.804,-3.618,13.089924,1.043,5.557,0.0,6.776,-0.3037818810318272,0.008824781003397682
airFoil2D_SST_37.873_9.4_1.304_6.497_15.782,train,37.873,9.4,88.36000000000001,1.304,6.497,15.782,0.0,1.103860531304595,0.015437976042286408
airFoil2D_SST_37.982_4.133_3.526_2.879_14.582,train,37.982,4.133,17.081689,3.526,2.879,14.582,0.0,0.7736813776957483,0.011846553158361165
airFoil2D_SST_37.983_9.999_6.128_2.638_10.544,train,37.983,9.999,99.98000100000002,6.128,2.638,10.544,0.0,1.582592251906727,0.019155702947984538
airFoil2D_SST_38.033_4.96_1.3_7.085_0.0_17.688,train,38.033,4.96,24.6016,1.3,7.085,0.0,17.688,0.6262955505696964,0.012211504262777225
airFoil2D_SST_38.052_-3.281_6.341_2.939_9.861,train,38.052,-3.281,10.764961000000001,6.341,2.939,9.861,0.0,0.2807906964663961,0.009895913707893932
airFoil2D_SST_38.237_9.129_0.349_3.678_8.291,train,38.237,9.129,83.338641,0.349,3.678,8.291,0.0,1.009352835718305,0.01335882067351261
airFoil2D_SST_38.274_12.815_1.091_3.782_1.0_13.709,train,38.274,12.815,164.224225,1.091,3.782,1.0,13.709,1.3481449390508347,0.019858392082202518
airFoil2D_SST_38.382_-2.604_2.772_5.791_0.0_9.112,train,38.382,-2.604,6.780816000000001,2.772,5.791,0.0,9.112,-0.030637242728613914,0.008971730275006144
airFoil2D_SST_38.419_1.975_6.587_2.288_16.253,train,38.419,1.975,3.9006250000000002,6.587,2.288,16.253,0.0,0.8052703767105794,0.012917701976425357
airFoil2D_SST_38.477_5.932_1.847_6.459_1.0_11.875,train,38.477,5.932,35.188624000000004,1.847,6.459,1.0,11.875,0.8147423423945728,0.011398585845653817
airFoil2D_SST_38.696_5.826_6.666_4.567_13.87,train,38.696,5.826,33.94227599999999,6.666,4.567,13.87,0.0,1.2629616635644356,0.01641616454042
airFoil2D_SST_38.787_5.253_6.652_1.953_11.241,train,38.787,5.253,27.594009,6.652,1.953,11.241,0.0,1.181749716236772,0.013725579407319815
airFoil2D_SST_38.797_3.751_1.748_7.04_0.0_19.453,train,38.797,3.751,14.070001,1.748,7.04,0.0,19.453,0.528923472089668,0.012332759209266353
airFoil2D_SST_38.802_5.507_3.497_7.184_1.0_10.971,train,38.802,5.507,30.327048999999995,3.497,7.184,1.0,10.971,0.9562817681353777,0.011859660608279879
airFoil2D_SST_39.064_11.865_5.605_6.208_12.05,train,39.064,11.865,140.778225,5.605,6.208,12.05,0.0,1.709288517344066,0.027027980390842705
airFoil2D_SST_39.152_4.447_2.434_4.291_15.999,train,39.152,4.447,19.775809,2.434,4.291,15.999,0.0,0.7058522432363624,0.011885221144747223
airFoil2D_SST_39.333_1.649_3.993_7.922_0.0_18.535,train,39.333,1.649,2.719201,3.993,7.922,0.0,18.535,0.5715127202063893,0.012418025482725747
airFoil2D_SST_39.375_11.642_5.097_2.44_9.816,train,39.375,11.642,135.53616399999999,5.097,2.44,9.816,0.0,1.6390661124481314,0.020588451388797942
