design_id,split,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle,cd
N_S_WW_WM_009,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.21032,-5.6486,19.5418,-13.942,0.32,1.14,-9.58623,-1.39111,-28.8902,70.4447,-8.03779,-0.2,32.6224,-0.1,-17.4558,17.9963,-12.1105,37.9954,47.7272,-34.6912,90.9158,29.8537,146.229,0.2524830266544851
E_S_WW_WM_383,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.60186,7.7218,-7.75726,-10.7556,2.08,-0.56,-5.14719,9.28748,23.5045,-0.991177,-5.23517,0.0,-2.48029,0.3,-23.244,5.62955,27.3481,31.2438,55.5281,-49.9954,127.691,37.5974,-35.403,0.2866923060099667
N_S_WWC_WM_059,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.16844,8.81047,7.91095,-3.98225,-0.61,-0.13,9.98959,3.75343,-43.0258,70.4447,-5.71221,0.2,-12.4045,-0.1,-24.4181,8.45809,27.5041,-13.1739,43.9449,-47.0876,80.607,-29.3383,113.353,0.2419723941495016
E_S_WW_WM_001,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1099,11.4064,-5.46415,-12.0162,2.26,-0.84,-5.53895,0.988306,-23.748,88.4825,-12.8101,0.7,-9.66762,-0.3,-9.34836,23.849,1.58493,21.2484,95.5656,-25.4121,-14.3906,28.4813,16.4525,0.2968251143388704
E_S_WWC_WM_549,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3568,-1.37923,13.3874,-5.76237,-1.27,0.29,19.0385,-4.2911,-38.9001,-71.8895,-4.68689,-0.2,-3.48093,0.6,44.8676,-6.4317,10.0473,36.5672,51.4293,-11.3883,-40.511,-57.3813,-41.0291,0.2592242146179401
E_S_WW_WM_106,train,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9958,-1.89559,0.253089,-17.5269,1.74,-1.49,1.94861,-2.36271,-30.5266,6.82413,-3.33724,0.3,2.10565,-0.1,-20.2772,-10.5186,-9.88517,2.90814,-46.5743,33.4251,-28.6665,-45.5858,-54.6862,0.2612592647674419
F_S_WWS_WM_010,train,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.97352,-2.88655,9.75021,-11.8799,0.19,-0.01,-6.24626,8.85415,27.9209,-25.1838,-14.9975,-0.3,10.8894,-0.3,1.80588,-2.36095,-24.5383,15.6597,20.4083,37.1007,0.165822,61.3787,9.76996,0.2479804186179402
N_S_WW_WM_641,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.20711,7.21909,3.27384,-11.1758,1.88,-1.35,18.5846,6.66055,35.2915,119.041,-10.9403,0.3,21.2683,0.1,42.3273,-7.45628,20.5174,-24.8261,7.59335,19.2118,15.3978,32.867,-189.353,0.2511030900332225
N_S_WW_WM_069,train,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.10558,0.895484,10.5647,0.424774,-0.09,1.61,11.5991,4.59013,47.7597,-30.1779,1.29387,0.1,-25.7833,0.3,52.2213,27.7962,16.6171,29.5626,-22.0515,4.02767,141.99,-17.4389,147.641,0.2186227465880398
N_S_WWC_WM_354,train,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.12596,-6.67286,11.9785,-8.98283,-0.81,-0.39,-6.73768,6.1938,11.4337,118.117,-7.99107,-0.4,27.7914,0.2,-17.5656,14.8317,20.758,43.3811,58.1828,-49.8203,41.3639,-58.6145,-116.689,0.2454546234219269
