case_id,U,alpha,naca_0,naca_1,naca_2,naca_3,cl,cd
airFoil2D_SST_31.812_1.334_0.371_3.287_0.0_19.548,31.812,1.334,0.371,3.287,0.0,19.548,0.1494156787984069,0.011564133355940446
airFoil2D_SST_31.863_-1.58_1.567_6.956_10.028,31.863,-1.58,1.567,6.956,10.028,0.0,0.05126406334904857,0.00922594904181221
airFoil2D_SST_32.137_12.122_4.854_5.202_9.247,32.137,12.122,4.854,5.202,9.247,0.0,1.6749779698309808,0.024231877365745794
airFoil2D_SST_32.432_14.036_6.578_2.722_5.928,32.432,14.036,6.578,2.722,5.928,0.0,1.846978116628546,0.0354101252643948
airFoil2D_SST_32.66_1.2_3.249_6.689_1.0_18.317,32.66,1.2,3.249,6.689,1.0,18.317,0.4176615834186798,0.011924945235440262
airFoil2D_SST_32.892_-0.128_5.528_3.635_15.155,32.892,-0.128,5.528,3.635,15.155,0.0,0.5279270459805271,0.011480227997247064
airFoil2D_SST_33.012_6.968_1.841_4.84_5.618,33.012,6.968,1.841,4.84,5.618,0.0,0.95670727072973,0.012276458840496444
airFoil2D_SST_33.33_14.375_1.036_3.451_12.655,33.33,14.375,1.036,3.451,12.655,0.0,1.4776413535658712,0.024938597485328028
airFoil2D_SST_33.984_-1.17_6.811_0.0_14.338,33.984,-1.17,6.811,0.0,14.338,0.0,-0.11851603626195296,0.009997952678747727
airFoil2D_SST_34.806_8.99_2.295_5.593_1.0_19.795,34.806,8.99,2.295,5.593,1.0,19.795,1.0255098094765522,0.017894973420372173
airFoil2D_SST_35.44_14.039_5.196_1.691_9.27,35.44,14.039,5.196,1.691,9.27,0.0,1.787724243203866,0.02860809160186418
airFoil2D_SST_35.49_10.54_0.884_6.154_1.0_10.173,35.49,10.54,0.884,6.154,1.0,10.173,1.1846613641826331,0.015460595146958706
airFoil2D_SST_35.507_5.777_1.428_6.645_0.0_10.474,35.507,5.777,1.428,6.645,0.0,10.474,0.7651582233816999,0.010964344126498056
airFoil2D_SST_35.516_-1.874_3.784_5.907_1.0_18.714,35.516,-1.874,3.784,5.907,1.0,18.714,0.13341293255183762,0.011325058285436687
airFoil2D_SST_36.155_8.69_3.296_7.636_1.0_8.571,36.155,8.69,3.296,7.636,1.0,8.571,1.2734258091534665,0.014370438360150454
airFoil2D_SST_37.191_5.448_2.812_0.0_12.933,37.191,5.448,2.812,0.0,12.933,0.0,0.5829787220239679,0.010755679863999694
airFoil2D_SST_37.251_6.299_1.193_5.155_17.506,37.251,6.299,1.193,5.155,17.506,0.0,0.7558131633021261,0.012954485086559782
airFoil2D_SST_37.291_-2.407_6.767_0.0_6.039,37.291,-2.407,6.767,0.0,6.039,0.0,-0.2631423137380427,0.008393038304799996
airFoil2D_SST_38.268_-1.682_6.363_5.449_13.343,38.268,-1.682,6.363,5.449,13.343,0.0,0.5399146830419318,0.011203053215263355
airFoil2D_SST_38.731_9.437_2.626_6.388_1.0_14.922,38.731,9.437,2.626,6.388,1.0,14.922,1.1979596749265415,0.01623897435519321
airFoil2D_SST_39.019_-2.224_0.696_4.875_13.154,39.019,-2.224,0.696,4.875,13.154,0.0,-0.16190520790754667,0.00960053281851441
airFoil2D_SST_39.01_8.67_0.874_3.693_1.0_16.259,39.01,8.67,0.874,3.693,1.0,16.259,0.9394221353436464,0.01412782806597931
airFoil2D_SST_39.204_6.325_3.319_3.611_8.695,39.204,6.325,3.319,3.611,8.695,0.0,1.0269144250318207,0.01168775395252146
airFoil2D_SST_39.31_8.883_4.707_0.0_12.552,39.31,8.883,4.707,0.0,12.552,0.0,0.9390661000794016,0.013066566609409035
