design_id,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle,fam_F_S,fam_N_S,cd
E_S_WWC_WM_005,12.9715,10.6198,-6.48716,6.18597,2.25,-0.01,9.68012,5.09923,-12.3244,63.8911,-14.6804,-0.1,11.6543,-0.1,40.39,12.1007,10.4434,39.8728,81.2466,8.66135,130.822,-36.2487,88.6815,0.0,0.0,0.2962596001096345
E_S_WWC_WM_006,9.34228,-3.16809,3.62362,-0.40938,-0.32,-1.08,18.4869,-4.89229,-21.1429,-51.4419,4.65238,0.4,9.2175,0.5,21.1696,-11.0906,-6.39725,7.58401,-37.6371,-45.9744,127.369,70.7942,-17.8464,0.0,0.0,0.2234880593023255
E_S_WWC_WM_007,-0.324772,5.57163,10.0661,19.1134,-1.11,1.97,8.57573,4.18703,11.4337,128.574,-3.17983,0.0,-18.0778,0.1,36.0917,22.9391,-4.14031,23.1288,125.336,5.53025,128.399,-56.5256,-23.5455,0.0,0.0,0.2778243377475083
E_S_WWC_WM_008,11.2471,-7.30354,18.5968,1.43838,-1.25,0.54,-3.48386,2.24477,7.1409,31.4745,-7.33866,0.6,-8.49659,0.7,6.74988,9.57108,-4.24254,-16.4713,25.4095,-40.3024,107.968,-52.5836,57.4909,0.0,0.0,0.2389313833953488
E_S_WWC_WM_009,-1.63974,-7.91724,16.4215,-13.942,0.29,1.26,-7.90374,5.13453,24.627,-28.3226,-3.71092,-0.2,17.2261,0.0,-7.32919,18.7647,-12.1105,43.2354,42.3561,-43.6618,89.0359,26.8087,117.017,0.0,0.0,0.258389442475083
E_S_WWC_WM_010,7.5353,-4.33703,8.61681,-19.4537,-0.44,-0.39,-9.27498,8.43238,27.9209,17.598,-14.9975,-0.2,3.34073,-0.2,31.5132,1.31296,-17.6415,27.7268,24.6156,37.1007,18.3839,69.6224,2.59549,0.0,0.0,0.2711289901096345
E_S_WWC_WM_011,1.45564,1.22362,12.0954,7.09802,-0.7,2.3,0.596081,-0.450606,-33.1165,29.2328,1.26841,-0.2,12.2478,0.0,-0.695343,24.2013,-22.1975,38.4497,-38.8848,-47.553,-45.1738,11.9651,-175.733,0.0,0.0,0.2737035066943521
E_S_WWC_WM_012,7.94051,-5.21013,3.19505,-4.76296,-1.1,-0.29,3.72183,-4.85159,26.9704,109.582,0.993291,0.7,-10.5897,0.9,26.1141,-2.12336,-21.7019,0.783284,4.89163,-36.421,-1.21948,43.4288,-198.922,0.0,0.0,0.2430741285415282
E_S_WWC_WM_013,0.352927,4.68227,19.1044,-16.4886,-1.64,0.23,-8.74561,2.76618,-2.75982,-76.9116,-14.4971,0.2,2.74215,0.8,46.7225,1.81866,0.981035,24.6691,72.3818,-7.29189,137.84,-9.11047,-37.9416,0.0,0.0,0.2693035567009967
E_S_WWC_WM_014,6.103,-6.27523,13.1765,0.899354,2.19,-0.72,-6.95945,7.79617,-44.7464,-65.8647,-11.4571,-0.2,15.3916,0.3,33.7089,-1.57356,5.29959,24.7258,-32.4726,8.87441,129.119,-38.9676,-70.2568,0.0,0.0,0.2576205281096345
